Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
SMFG India Credit,4,NBFC | Mumbai +509 other locations,"Highly Rated For Salary & Benefits, Job Security, Company Culture",4k,10.3k,149,3,358,13,500
TVS Motor,4,Automobile | Chennai +292 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Job Security",3.9k,14.5k,302,7,559,8,500
SBI Cards & Payment Services,3.7,Financial Services | Gurgaon/Gurugram +374 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",3.9k,15.9k,224,88,357,12,500
IQVIA,3.9,Clinical Research | Durham +49 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",3.9k,27.5k,447,15,560,--,500
Kalpataru Projects International,4.2,Engineering & Construction | Mumbai +267 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits",3.9k,12.4k,220,1,217,17,500
Swiggy,3.8,Internet | Bangalore +197 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Job Security, Promotions / Appraisal",3.9k,20.4k,412,134,378,14,500
BNY,4,Financial Services | New York City +18 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",3.8k,28.1k,325,469,569,1,500
Atos Syntel,3.6,IT Services & Consulting | Troy +29 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",--,--,--,--,--,--,500
Optum,4,Prairie +36 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",3.8k,29.2k,405,75,581,4,500
Amdocs,3.8,Software Product | Chesterfield +18 other locations,"Highly Rated For Company Culture  Critically Rated For Promotions / Appraisal, Work Satisfaction",3.8k,34.5k,514,94,703,20,500
Hewlett Packard Enterprise,4.2,IT Services & Consulting | Houston +93 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",3.7k,27k,226,87,644,13,500
