Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
IMA-PG,4,Medical Equipment | Navi Mumbai +7 other locations,"Highly Rated For Job Security, Skill Development / Learning",85,509,4,--,9,--,500
Brindavan Bottlers,3.8,Beverage | Lucknow +8 other locations,Critically Rated For Promotions / Appraisal,85,396,1,--,9,--,500
Hicool Electronic Industries,4,Electrical Equipment | Navi Mumbai +6 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",85,356,7,--,5,1,500
EAZY ERP Business Solutions,3.5,Software Product | Gurgaon +6 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",85,344,4,--,6,--,500
Vizza Insurance Broking Services,3.8,Insurance | Chennai +9 other locations,missing,85,332,10,18,6,--,500
Shree Balaji Construction,3.6,Engineering & Construction | Ahmedabad +27 other locations,missing,85,485,1,1,9,--,500
iXceed Solutions,3.7,Recruitment | London +1 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance",85,146,6,9,10,9,500
Mahabal Group of Industries,3.6,Auto Components | Sangli +5 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",85,479,2,--,4,--,500
Microsoft Research,4.6,Gurgaon / Gurugram +7 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Company Culture",85,853,36,--,6,--,500
Reliance Smart Bazaar,4.1,Kurseong +39 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",85,334,3,--,1,--,500
Aligned Automation,4,IT Services & Consulting | Irving +2 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",86,751,11,8,8,--,500
Pharmalex,3.2,Pharma | Frankfurt am Main +7 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",85,405,12,9,10,--,500
Apollo Home Healthcare,3.5,Healthcare | Delhi/NCR +9 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Life Balance",85,326,7,31,14,--,500
Sandberg Translation Partners,3.6,Chemicals | New Delhi +21 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",85,497,5,2,14,--,500
Yash Enterprises,3.8,Industrial Machinery | Unnao +27 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",85,744,3,--,5,--,500
Argl,4,Delhi +8 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,85,388,4,--,8,--,500
Emmennar Pharma,4,Pharma | Hyderabad +9 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",85,439,3,--,8,--,500
Excelity Global,4.4,Recruitment | Singapore +6 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Job Security",84,433,1,--,12,1,500
Sobha Engineering Contracting,3.7,Engineering & Construction | Dubai +9 other locations,"Critically Rated For Work Life Balance, Promotions / Appraisal, Salary & Benefits",84,286,7,--,12,--,500
Anupama Software Services,5,Chandigarh +15 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",84,--,1,--,1,--,500
Om Telecom Logistics,4.3,Telecom | New Delhi +24 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",84,263,3,--,5,--,500
ICRI,3.7,Education & Training | New Delhi +8 other locations,missing,84,121,5,1,26,--,500
William Penn,4.3,Other | Banglore +11 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",84,490,5,1,8,--,500
MosChip Institute of Silicon Systems,4.6,Education & Training | Hyderabad/Secunderabad +2 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",84,34,2,--,5,14,500
Coupa Software Inc,3.9,IT Services & Consulting | San Mateo +2 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Company Culture  Critically Rated For Job Security, Promotions / Appraisal",84,845,25,--,10,--,500
Pearl Polymers,4.1,Delhi/NCR +19 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,397,4,--,10,--,500
Arteria Technologies,2,Software Product | Bangalore/Bengaluru +3 other locations,"Critically Rated For Company Culture, Work Life Balance, Promotions / Appraisal",84,660,8,2,8,--,500
SRIT,3.7,IT Services & Consulting | Bangalore/Bengaluru +18 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",84,695,7,--,12,--,500
Delhi Public School Ghaziabad Society,3.2,Education & Training | New Delhi +13 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",84,472,9,4,10,7,500
Pragmasys Consulting LLP,3.8,IT Services & Consulting | Pune +5 other locations,Highly Rated For Skill Development / Learning,84,612,6,--,10,--,500
Hbk Contracting Company Wll,4.4,Engineering & Construction | Doha +5 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Work Satisfaction",84,305,5,--,17,--,500
Nipro Medical,3.8,Healthcare | Osaka +28 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",84,441,3,--,6,--,500
CL MICROMED,3.9,Medical Equipment | New Delhi +12 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",84,193,3,1,11,3,500
HP Globalsoft,4.8,Bangalore / Bengaluru +2 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance",84,431,--,--,14,--,500
Datapro,3.6,Education & Training | Florida +24 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",84,378,3,--,5,--,500
Sankei Giken,3.9,Auto Components | Tokyo +3 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,423,7,--,10,--,500
Kpltechsolution.com,4.4,noida +2 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",84,276,2,1,6,1,500
Jal International,3.7,Oil & Gas | Dammam +10 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Job Security  Critically Rated For Promotions / Appraisal, Skill Development / Learning",84,242,7,--,13,--,500
Suncity Projects,4,Real Estate | Gurgaon/Gurugram +8 other locations,Highly Rated For Work Life Balance,84,450,7,--,11,--,500
Shaze Luxury Retail,2.7,Retail | Mumbai +13 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",84,510,4,--,11,--,500
Kewaunee Labway,4.1,Furniture & Furnishing | Statesville +8 other locations,"Highly Rated For Company Culture, Salary & Benefits  Critically Rated For Promotions / Appraisal",84,557,3,--,14,--,500
Shreem Electrics,4,Electrical Equipment | Kolhapur +18 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",84,411,3,--,6,--,500
BAN LABS,3.3,Healthcare | Rajkot +28 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",84,291,2,--,4,--,500
Nando's,3.9,Hospitality | Putney +14 other locations,"Highly Rated For Skill Development / Learning, Job Security",85,325,6,--,19,--,500
Sac Engine Components,3.8,Auto Components | Chennai +5 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Company Culture",84,658,3,2,12,--,500
Gruh Finance,4.4,Financial Services | Ahmedabad +47 other locations,"Highly Rated For Skill Development / Learning, Job Security, Company Culture",84,213,--,--,10,--,500
Anglo-French Drugs & Industries,3.8,Pharma | Bangalore +17 other locations,"Highly Rated For Company Culture, Salary & Benefits, Work Life Balance  Critically Rated For Promotions / Appraisal",84,391,7,--,4,--,500
ANAAMALAIS TOYOTA,4.4,Financial Services | Coimbatore +19 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Job Security",84,321,3,--,10,--,500
Poddar Tyres,3.9,Auto Components | Mumbai +14 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Skill Development / Learning",84,363,5,--,7,--,500
Centuary Fibre Plates,4.4,Fashion & Textile | Hyderabad +21 other locations,"Highly Rated For Job Security, Company Culture, Salary & Benefits",84,480,4,5,8,--,500
Amplifon,3.7,Medical Equipment | Milan +25 other locations,"Critically Rated For Promotions / Appraisal, Job Security",84,396,5,--,11,--,500
Dexcel Electronics Designs,4.4,Semiconductors | Bangalore / Bengaluru +1 other locations,"Highly Rated For Work Satisfaction, Work Life Balance, Skill Development / Learning",84,446,4,--,3,--,500
Jawed Habib Hair & Beauty,4.1,Retail | Mumbai +28 other locations,"Highly Rated For Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,481,1,--,9,--,500
Intact Green Services,3.6,Urban Transport | Umaria +13 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",85,902,13,3,10,--,500
Tumbledry Solutions,4,Other | Noida +13 other locations,"Highly Rated For Salary & Benefits, Work Satisfaction, Company Culture",84,235,2,8,2,--,500
Palo Alto Networks,3.8,IT Services & Consulting | SANTA CLARA +8 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Work Satisfaction",84,1.1k,22,--,8,--,500
Ice Mortgage Technology,4.1,Software Product | Atlanta +1 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture",84,857,13,--,16,--,500
Santa Monica Study Abroad,3.7,Education & Training | Ernakulam +14 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",84,469,11,7,6,--,500
Hatch Associates India,4.1,Electronics Manufacturing | Mississauga +3 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",84,533,10,1,7,2,500
Viswaat Chemicals,4,Chemicals | Mumbai +8 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Job Security",84,628,4,4,15,--,500
HP Globalsoft,4.8,Bangalore / Bengaluru +2 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance",84,431,--,--,14,--,500
William Penn,4.3,Other | Banglore +11 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",84,490,5,1,8,--,500
ICRI,3.7,Education & Training | New Delhi +8 other locations,missing,84,121,5,1,26,--,500
Excelity Global,4.4,Recruitment | Singapore +6 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Job Security",84,433,1,--,12,1,500
Om Telecom Logistics,4.3,Telecom | New Delhi +24 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",84,263,3,--,5,--,500
MosChip Institute of Silicon Systems,4.6,Education & Training | Hyderabad/Secunderabad +2 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",84,34,2,--,5,14,500
Sankei Giken,3.9,Auto Components | Tokyo +3 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,423,7,--,10,--,500
Jal International,3.7,Oil & Gas | Dammam +10 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Job Security  Critically Rated For Promotions / Appraisal, Skill Development / Learning",84,242,7,--,13,--,500
Poddar Tyres,3.9,Auto Components | Mumbai +14 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Skill Development / Learning",84,363,5,--,7,--,500
Anik Milk Products,4,Indore +20 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction  Critically Rated For Promotions / Appraisal",84,365,10,--,7,--,500
Saarathi Healthcare,3.3,Healthcare | Jodhpur +11 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",84,314,13,4,13,--,500
Chopra Industries,3.7,Auto Components | Ludhiana +21 other locations,"Critically Rated For Promotions / Appraisal, Job Security",84,606,6,--,7,--,500
NBFC,4.4,Insurance | Maddur +44 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",84,1k,11,--,10,--,500
CRY - Child Rights and You,4.1,Non-Profit | Mumbai +6 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",84,359,4,9,13,--,500
Prabha Industries,3.5,Chemicals | Chennai +9 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",84,572,4,--,7,--,500
Godrej Capital,3.5,Financial Services | Hyderabad / Secunderabad +13 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance",85,644,3,--,1,--,500
Voltamp Transformers,3.7,Electrical Equipment | Vadodara/Baroda +15 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",84,644,6,--,11,--,500
Oriental Consultants India Pvt Ltd,4.1,Engineering & Construction | Tokyo +16 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  Critically Rated For Job Security, Skill Development / Learning",84,103,--,--,2,14,500
SP Software,3.7,IT Services & Consulting | Hyderabad +4 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",84,780,8,9,10,--,500
InfinityLabs,3.2,IT Services & Consulting | Pune +10 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",84,884,9,4,10,51,500
Aurore Life Sciences,3.2,Pharma | Hyderabad/Secunderabad +2 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",84,614,5,--,5,--,500
Goel Construction,4,Engineering & Construction | Chandigarh +23 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits",84,477,6,--,3,1,500
Centuary Fibre Plates,4.4,Fashion & Textile | Hyderabad +21 other locations,"Highly Rated For Job Security, Company Culture, Salary & Benefits",84,480,4,5,8,--,500
Dexcel Electronics Designs,4.4,Semiconductors | Bangalore / Bengaluru +1 other locations,"Highly Rated For Work Satisfaction, Work Life Balance, Skill Development / Learning",84,446,4,--,3,--,500
Amplifon,3.7,Medical Equipment | Milan +25 other locations,"Critically Rated For Promotions / Appraisal, Job Security",84,396,5,--,11,--,500
Servify,3.9,Consumer Electronics & Appliances | Mumbai +6 other locations,"Highly Rated For Company Culture  Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",84,889,8,10,7,--,500
Velankani Electronics,3.9,Electronics Manufacturing | Bangalore/Bengaluru +8 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",84,581,4,--,15,--,500
Ingram Micro India Ssc,4,IT Services & Consulting | Mumbai +8 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",84,788,2,--,15,--,500
Mobily Infotech,4,Telecom | Bangalore/Bengaluru +3 other locations,"Highly Rated For Job Security, Company Culture, Work Satisfaction",84,790,7,5,11,--,500
Recaero,4.1,Aviation | Verniolle +5 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Salary & Benefits  Critically Rated For Promotions / Appraisal",84,485,3,--,8,--,500
NBFC,4.4,Insurance | Maddur +44 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",84,1k,11,--,10,--,500
Oriental Consultants India Pvt Ltd,4.1,Engineering & Construction | Tokyo +16 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  Critically Rated For Job Security, Skill Development / Learning",84,103,--,--,2,14,500
Anik Milk Products,4,Indore +20 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction  Critically Rated For Promotions / Appraisal",84,365,10,--,7,--,500
R.K. Group,4.1,Real Estate | Kolkata +29 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,84,772,3,2,9,--,500
Voltamp Transformers,3.7,Electrical Equipment | Vadodara/Baroda +15 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",84,644,6,--,11,--,500
Joy Technologies,4.3,Emerging Technologies | Mangaluru +3 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",84,141,13,3,3,--,500
Rcpl Logistics,3.1,Logistics | New Delhi +20 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Company Culture",84,270,1,--,12,--,500
Chopra Industries,3.7,Auto Components | Ludhiana +21 other locations,"Critically Rated For Promotions / Appraisal, Job Security",84,606,6,--,7,--,500
Monotype,4.1,IT Services & Consulting | Woburn +3 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",84,744,22,--,13,--,500
Shri Kshetra Dharmasthala Rural Development Project,4.1,Gokak +37 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance",84,246,3,--,5,1,500
CoreEL Technologies,3.9,Electronics Manufacturing | Bangalore/Bengaluru +6 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Company Culture, Salary & Benefits, Promotions / Appraisal",84,718,6,12,16,--,500
Indogulf CropSciences,3.5,Agro Chemicals | New Delhi +16 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",84,479,1,1,6,--,500
Vensar Constructions,4.3,Engineering & Construction | Hyderabad +16 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Salary & Benefits",84,392,8,--,2,--,500
Ediglobe,4.3,EdTech | Bengaluru/Bangalore,"Highly Rated For Company Culture, Job Security, Promotions / Appraisal",84,41,5,--,5,9,500
Miles Education,3.3,Bangalore / Bengaluru +9 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",84,373,6,10,--,--,500
School of Scholars,4.1,Education & Training | Nagpur +26 other locations,"Highly Rated For Skill Development / Learning, Company Culture",84,857,9,--,8,--,500
Aaa Capital Services,3.3,Financial Services | New Delhi +21 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",84,731,10,5,10,--,500
Adani Cement,3.5,Kochi +38 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance",84,615,14,--,3,--,500
MG Automotives,4.3,Auto Components | Zahirabad +23 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",84,598,3,--,3,--,500
VLink,3.8,IT Services & Consulting | South Windsor +2 other locations,"Highly Rated For Salary & Benefits, Work Life Balance",84,639,4,18,5,5,500
Tumbledry Solutions,4,Other | Noida +13 other locations,"Highly Rated For Salary & Benefits, Work Satisfaction, Company Culture",84,235,2,8,2,--,500
MG Automotives,4.3,Auto Components | Zahirabad +23 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",84,598,3,--,3,--,500
Paramount,3,IT Services & Consulting | Jalandhar +24 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",85,819,6,--,3,--,500
SecureNow Insurance Broker,2.9,Insurance | Delhi +6 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",84,539,6,17,10,--,500
Revature,3.6,IT Services & Consulting | Reston +6 other locations,"Highly Rated For Skill Development / Learning, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal, Job Security",84,588,37,2,10,--,500
Minosha,4.4,Hardware & Networking | Noida +20 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",84,463,5,2,10,--,500
Ice Mortgage Technology,4.1,Software Product | Atlanta +1 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture",84,857,13,--,16,--,500
Lasons India,3.8,Pharma | Mumbai +6 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal, Company Culture",84,579,4,--,6,--,500
Blue Consulting,4,Accounting & Auditing | Noida +7 other locations,Highly Rated For Company Culture,84,348,6,2,11,--,500
BEC Chemicals,3.6,Pharma | Mumbai +7 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",84,540,6,2,16,--,500
Pathlock,4.4,Software Product | Dallas +5 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",84,424,4,9,4,7,500
Polytechnic College,3.7,Education & Training | Gudivada +38 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,355,4,--,8,--,500
Svarn Infratel,3.8,Telecom | Delhi +6 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",84,548,4,--,5,--,500
Accumax,3.9,Biotechnology | Gandhinagar +6 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,708,5,1,9,--,500
Alexis Global,3.4,Logistics | New Delhi +19 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",84,448,5,--,3,--,500
Ccl Products,3.9,Food Processing | Hyderabad +16 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,84,537,1,9,9,--,500
Woodkraft (India) Private Limited,3.5,Real Estate | Bengaluru +8 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning",84,462,4,--,8,--,500
Stemz Healthcare,3.6,Healthcare | Gurgaon +9 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",84,478,6,--,10,--,500
Lloyds Engineering Works Limited,3.9,Industrial Machinery | Mumbai +8 other locations,Critically Rated For Promotions / Appraisal,84,441,5,9,8,--,500
Dura-Line,4.2,Chemicals | Knoxville +7 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Work Satisfaction",84,391,3,--,15,--,500
Pathlock,4.4,Software Product | Dallas +5 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",84,424,4,9,4,7,500
Polytechnic College,3.7,Education & Training | Gudivada +38 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",84,355,4,--,8,--,500
Svarn Infratel,3.8,Telecom | Delhi +6 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",84,548,4,--,5,--,500
YouGov,3.7,Analytics & KPO | London +4 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",84,532,7,20,10,--,500
Bottomline,3.3,Software Product | Portsmouth +4 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",84,695,17,30,4,21,500
Signet Industries,2.7,Indore +17 other locations,"Critically Rated For Job Security, Company Culture, Promotions / Appraisal",83,468,4,--,7,--,500
STEM Learning,3.5,Education & Training | Mumbai +16 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",84,250,7,2,7,--,500
Minda Silca Engineering,4.2,Industrial Automation | Greater Noida +4 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning",83,562,5,--,12,--,500
VIVO Healthcare,3.5,Healthcare | Gurgaon +15 other locations,"Critically Rated For Promotions / Appraisal, Job Security",83,311,1,--,11,--,500
The MobileStore,4.3,Internet | Mumbai +23 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Work Life Balance",83,302,3,--,9,--,500
Vijaya Bank,4.4,Banking | Bangalore/Bengaluru +29 other locations,"Highly Rated For Job Security, Skill Development / Learning, Promotions / Appraisal",83,207,1,--,12,--,500
NGRT Systems Private Limited,3.2,Retail | Nagpur +8 other locations,"Critically Rated For Work Life Balance, Company Culture, Promotions / Appraisal",83,313,6,12,6,--,500
DesiChef,2.5,Chandigarh +10 other locations,"Critically Rated For Job Security, Work Satisfaction, Company Culture",83,240,4,5,--,1,500
AND India,3.8,Pune +23 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance",83,285,10,--,3,2,500
Markem Imaje,4,Industrial Automation | Vernier +14 other locations,"Highly Rated For Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",83,489,8,--,10,--,500
Financepeer,3,Financial Services | Mumbai +13 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",83,441,7,--,9,--,500
ASSET DEALS,3.7,Gurgaon / Gurugram +2 other locations,missing,83,95,9,3,6,--,500
Sara Suole,3.5,Fashion & Textile | Bangalore/Bengaluru +12 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",83,409,2,--,13,--,500
A.P.Securitas,4,Law Enforcement & Security | Gurgaon +21 other locations,"Highly Rated For Job Security, Work Satisfaction, Skill Development / Learning  Critically Rated For Promotions / Appraisal",83,386,2,2,6,2,500
Krishna Ishizaki Auto,4,Automobile | Gurgaon +8 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  Critically Rated For Promotions / Appraisal",83,463,3,--,8,--,500
AstraGen,3.7,EdTech | Chennai +12 other locations,"Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Job Security",83,366,10,2,8,--,500
UpMan Placements,3.8,Recruitment | Ahmedabad +10 other locations,Highly Rated For Work Life Balance,83,205,3,14,40,--,500
White Crow Research,3.1,Recruitment | Mumbai +2 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",83,541,5,1,9,--,500
MAHLE Holding (India),3.8,Auto Components | Stuttgart +3 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",83,566,--,--,11,--,500
Emerson Export Engineering,4.2,Import & Export | Nashik +2 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",83,603,12,--,9,--,500
Supertron Electronics,4.6,IT Services & Consulting | Kolkata +23 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",83,379,2,--,7,--,500
Data is Good,4.1,EdTech | Noida +3 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Work Satisfaction",83,223,4,--,9,--,500
Pune Institute of Business Management,3.5,Education & Training | Pune +7 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",83,463,7,--,10,--,500
Huber Suhner Electronics,4.2,Electrical Equipment | Pfäffikon +5 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",83,568,6,3,12,--,500
Twilio,4.1,Software Product | San Francisco +2 other locations,"Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  Critically Rated For Job Security",83,797,22,11,5,--,500
Nova IVF Fertility,4.1,Healthcare | Bangalore +26 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",83,404,5,1,9,--,500
Fia Technology Services,4.1,FinTech | Gurgaon / Gurugram +20 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Skill Development / Learning",83,404,8,3,6,--,500
SIONIQ,4.4,Software Product | Hyderabad / Secunderabad +7 other locations,"Highly Rated For Salary & Benefits, Job Security, Work Satisfaction",83,83,5,3,8,4,500
Web Synergies,3.1,IT Services & Consulting | Singapore +7 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",83,652,3,8,11,--,500
Indian Institute of Technology Madras,4.5,Education & Training | Chennai +3 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture",83,888,3,1,8,--,500
Mystifly Consulting,2.7,Internet | Singapore +1 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Job Security",83,656,7,--,13,--,500
Air India Express,3.4,Aviation | Kochi +12 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",83,659,12,--,11,--,500
Srei Infrastructure Finance,4.3,Financial Services | Kolkata +29 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Company Culture  Critically Rated For Promotions / Appraisal",83,408,2,--,9,--,500
Microscan Infocommtech,3.9,Aurangabad +3 other locations,missing,83,411,7,1,4,--,500
Voltas Beko Home Appliances,3.8,Mumbai +11 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",83,453,8,--,8,--,500
MAHLE Holding (India),3.8,Auto Components | Stuttgart +3 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",83,566,--,--,11,--,500
Financepeer,3,Financial Services | Mumbai +13 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",83,441,7,--,9,--,500
Daurala Sugar Works,3.9,Food Processing | Bharuch +2 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,83,462,5,1,4,--,500
